CustomerID,Recency,Frequency,Monetary,AvgOrderValue,DaysActive,TotalQuantity,AvgQuantity,StdQuantity,AvgUnitPrice,StdUnitPrice,MostFrequentCountry,ProductVariety,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,WillPurchase_90Days,UniquePurchaseDays,CustomerAge_Days,ActivityPeriod_Days,UniqueYears,UniqueMonths,PreferredDayOfWeek,UniqueQuarters,AvgDaysBetweenPurchases
17158.0,31,3,1266.97,422.3233333333333,328,778,11.611940298507463,8.923844843130146,3.2455223880597015,3.0530021407560257,United Kingdom,53,4,4,4,444,Champions,1,2,297,127,2,2,1,2,127.0
17159.0,21,3,1538.88,512.96,150,1111,11.0,7.30479294709987,2.389108910891089,2.3772863096437935,United Kingdom,96,4,4,4,444,Champions,1,2,108,96,1,2,1,2,96.0
17160.0,30,6,3518.03,586.3383333333334,210,2856,12.471615720524017,7.233288514145872,1.6480349344978165,1.5933780398014776,United Kingdom,111,4,5,5,455,Champions,1,5,178,132,1,3,1,2,33.0
17162.0,28,10,1715.46,171.546,276,1001,9.625,7.829726154246099,3.83,3.3774589747639556,United Kingdom,81,4,5,4,454,Champions,1,8,242,174,1,5,0,3,24.857142857142858
17163.0,21,2,293.1,146.55,56,66,13.2,7.155417527999327,4.529999999999999,0.3834057902536162,United Kingdom,3,4,3,2,432,Price_Sensitive,1,1,14,0,1,1,3,1,0.0
17164.0,32,7,2467.35,352.4785714285714,240,1501,10.42361111111111,5.700668420029395,2.4883333333333333,2.3969459005888405,United Kingdom,92,3,5,5,355,Loyal_Customers,1,4,210,193,1,4,2,3,64.33333333333333
17165.0,283,1,158.68,158.68,0,100,10.0,6.463573143221772,3.0669999999999997,3.2330585793916224,United Kingdom,10,1,2,1,121,Others,0,1,220,0,1,1,0,1,0.0
17166.0,38,2,206.34,103.17,165,78,6.5,3.5032452487268535,3.115,1.8150507130405724,United Kingdom,11,3,3,1,331,Price_Sensitive,1,1,140,0,1,1,4,1,0.0
17169.0,57,2,835.78,417.89,125,526,9.74074074074074,7.369455537056214,2.830740740740741,2.358329959031892,United Kingdom,51,3,3,3,333,Loyal_Customers,1,1,120,0,1,1,3,1,0.0
17171.0,288,1,224.91,224.91,0,185,11.5625,6.418398034816268,2.38,3.337516042408386,United Kingdom,16,1,2,1,121,Others,0,1,225,0,1,1,2,1,0.0
17172.0,78,1,317.76,317.76,0,480,32.0,15.491933384829668,0.8446666666666667,0.7949291672547819,United Kingdom,15,2,2,2,222,Others,0,1,15,0,1,1,3,1,0.0
17173.0,4,8,3766.6,470.825,125,1122,13.046511627906977,5.693974062926085,3.7151162790697674,2.230435327694123,United Kingdom,36,5,5,5,555,Champions,1,2,67,14,1,2,0,1,14.0
17174.0,217,1,59.9,59.9,0,41,10.25,4.5,1.6625,0.6786935980249115,United Kingdom,4,1,2,1,121,Others,0,1,154,0,1,1,4,1,0.0
17175.0,43,4,1443.69,360.9225,252,866,13.746031746031745,15.890723865410218,4.0947619047619055,7.895238429696164,United Kingdom,42,3,4,4,344,Loyal_Customers,1,3,233,155,1,3,2,3,77.5
17176.0,201,1,306.13,306.13,0,170,11.333333333333334,8.909598890014768,2.772666666666667,2.164487622202231,United Kingdom,15,1,2,2,122,Others,0,1,138,0,1,1,6,1,0.0
17179.0,177,3,711.79,237.26333333333332,183,290,3.625,2.7576131671695423,2.314375,1.4897717468105431,United Kingdom,56,2,4,3,243,At_Risk,0,3,298,183,2,3,3,2,91.5
17180.0,55,4,783.97,195.9925,259,670,5.36,7.937660336201292,1.9075199999999999,2.2569736574277024,United Kingdom,91,3,4,3,343,Loyal_Customers,1,3,252,74,1,2,3,2,37.0
17181.0,56,2,239.92000000000002,119.96000000000001,316,241,10.478260869565217,32.63276318673583,3.039565217391304,2.9474958219738596,United Kingdom,23,3,3,1,331,Price_Sensitive,1,1,310,0,1,1,2,1,0.0
17183.0,7,6,3347.31,557.885,97,1296,17.753424657534246,16.598846029098432,4.032465753424658,3.704355462313518,United Kingdom,42,5,5,5,555,Champions,1,1,41,0,1,1,4,1,0.0
17187.0,226,1,203.95,203.95,0,144,14.4,18.19767994980557,3.7649999999999997,3.6195925185026003,United Kingdom,10,1,2,1,121,Others,0,1,163,0,1,1,2,1,0.0
17188.0,10,7,2474.23,353.4614285714286,351,1328,15.80952380952381,12.657181580179815,2.6591666666666667,2.504764716523403,United Kingdom,71,5,5,5,555,Champions,1,5,299,198,2,3,1,3,49.5
17189.0,105,2,383.75,191.875,253,226,3.7666666666666666,3.846048673051372,2.3425000000000002,2.344657558748529,United Kingdom,52,2,3,2,232,Others,0,2,295,253,2,2,2,2,253.0
17190.0,58,2,444.74,222.37,148,161,8.473684210526315,12.116877215284983,12.313684210526317,44.25762887288803,United Kingdom,19,3,3,2,332,Price_Sensitive,1,1,143,0,1,1,0,1,0.0
17191.0,27,7,2093.68,299.09714285714284,340,1166,4.940677966101695,6.884818170477251,2.5697881355932206,2.45184419466704,United Kingdom,163,4,5,5,455,Champions,1,6,305,273,2,4,0,4,54.6
17193.0,35,7,1699.3,242.75714285714284,141,1254,39.1875,48.483743534269024,2.4309375,1.4511449525761022,United Kingdom,17,3,5,4,354,Loyal_Customers,1,3,113,90,1,2,3,2,45.0
17194.0,273,2,262.62,131.31,86,119,4.103448275862069,11.346317299289565,3.9117241379310346,4.496312829868425,United Kingdom,26,1,3,2,132,Others,0,2,297,86,2,2,1,2,86.0
17198.0,23,3,692.22,230.74,347,357,3.71875,6.165614538030977,2.8972916666666664,2.9171433319770634,United Kingdom,89,4,4,3,443,Loyal_Customers,1,2,308,5,1,1,4,1,5.0
17204.0,174,4,1564.56,391.14,88,646,11.333333333333334,9.61645415297086,4.6410526315789475,4.433193658643573,United Kingdom,44,2,4,4,244,At_Risk,0,4,200,88,1,3,0,2,29.333333333333332
17211.0,26,8,2317.2200000000003,289.65250000000003,342,1323,6.270142180094787,6.6617607767282685,3.2573933649289097,4.180222747739367,United Kingdom,150,4,5,5,455,Champions,1,6,306,189,2,4,6,3,37.8
17212.0,252,1,226.85,226.85,0,147,36.75,21.187653637594387,1.385,0.7997291208069558,United Kingdom,4,1,2,1,121,Others,0,1,189,0,1,1,3,1,0.0
17213.0,39,7,2781.23,397.31857142857143,326,1176,7.490445859872612,6.090785215678223,4.155414012738853,3.9333774699467168,United Kingdom,85,3,5,5,355,Loyal_Customers,1,5,303,225,2,3,3,3,56.25
17214.0,59,6,1059.1200000000001,176.52,298,272,2.6930693069306932,2.1201064796723097,5.328415841584158,8.67419756895971,United Kingdom,79,3,5,4,354,Loyal_Customers,1,5,296,273,2,4,3,4,68.25
17217.0,233,1,113.5,113.5,0,24,2.6666666666666665,3.278719262151,3.716666666666667,2.1340981701880537,United Kingdom,9,1,2,1,121,Others,0,1,170,0,1,1,1,1,0.0
17218.0,3,10,1951.97,195.197,363,955,3.5239852398523985,5.01168785641641,2.9098523985239853,2.439914232020173,United Kingdom,146,5,5,4,554,Champions,1,7,304,297,2,4,6,4,49.5
17220.0,23,14,3187.55,227.68214285714288,339,1897,4.062098501070664,4.993385999634886,2.4691006423982866,2.116717041768633,United Kingdom,303,4,5,5,455,Champions,1,11,301,292,2,7,2,4,29.2
17222.0,64,1,328.65,328.65,0,122,4.518518518518518,2.778632347180483,2.9444444444444446,1.8404939415053636,United Kingdom,27,3,2,2,322,Others,0,1,2,0,1,1,2,1,0.0
17223.0,309,2,416.89,208.445,58,110,2.2916666666666665,1.7740245546686708,4.352083333333334,5.487739509951071,United Kingdom,43,1,3,2,132,Others,0,2,305,58,2,2,0,2,58.0
17226.0,308,1,393.49,393.49,0,406,19.333333333333332,29.845155944195255,2.5752380952380953,3.119002435150731,United Kingdom,21,1,2,2,122,Others,0,1,245,0,1,1,4,1,0.0
17227.0,18,6,939.32,156.55333333333334,349,741,15.76595744680851,21.714764328084172,1.3721276595744683,1.3009376821792689,United Kingdom,28,4,5,4,454,Champions,1,4,305,298,2,4,0,4,99.33333333333333
17228.0,15,8,1906.09,238.26125,356,1532,7.365384615384615,7.594884742212461,1.7266346153846153,1.3204099133523188,United Kingdom,140,4,5,4,454,Champions,1,6,308,308,2,5,1,4,61.6
17229.0,95,2,318.76,159.38,46,185,3.9361702127659575,3.7031376550348365,2.008936170212766,1.6272278828712683,United Kingdom,39,2,3,2,232,Others,0,2,79,46,1,2,2,1,46.0
17230.0,263,8,3638.41,454.80125,95,1651,23.92753623188406,24.924780275496037,3.736521739130435,3.4293507471990345,United Kingdom,51,1,5,5,155,At_Risk,0,8,296,95,2,3,2,2,13.571428571428571
17231.0,11,10,3124.72,312.472,349,1724,3.2467043314500943,4.981982959868004,2.7403389830508473,2.4194848738285195,United Kingdom,292,5,5,5,555,Champions,1,8,298,297,2,8,0,4,42.42857142857143
